item_code,item_description,item_type,supplier
345020,OSKAR BLUES BA TEN FIDY - 19OZ CAN,BEER,LEGENDS LTD
345024,NINKASI TIM'S TRIPEL - 1/4K,KEGS,LEGENDS LTD
345026,BALTIKA #7 EXPORT - 6/4 NR 500ML,BEER,INTERBALT PRODUCTS CORP
345028,GYUMRI LAGER - 750ML,BEER,INTERBALT PRODUCTS CORP
345030,JACOBS CREEK DOUBLE BARREL SHZ - 750ML,WINE,REPUBLIC NATIONAL DISTRIBUTING CO
345032,JACOBS CREEK DOUBLE BARREL CAB - 750ML,WINE,REPUBLIC NATIONAL DISTRIBUTING CO
345036,COLENE CLEMENS VICTORIA P/NOIR - 750ML,WINE,OPICI FAMILY DISTRIBUTING OF MD
345038,DOM EDEN P/NOIR - 750ML,WINE,CONSTANTINE WINES INC
345040,TUCK BECKSTOFFER MAD HATTER - 750ML,WINE,CONSTANTINE WINES INC
345042,TUCK BECKSTOFFER DANCING HARES - 750ML,WINE,CONSTANTINE WINES INC
345044,BANFI POGGIO ALLE MURA BRUN-MONT RIS 10 - 750ML,WINE,REPUBLIC NATIONAL DISTRIBUTING CO
345046,SAMOS VIN DOUX MUSCATO - 500ML,WINE,A VINTNERS SELECTIONS
345050,CH DE BELLEVUE LUSSAC ST EMILION MER/CAB/FR - 750ML,WINE,A VINTNERS SELECTIONS
345054,CATHERINE & PIERRE BRETON BOURGUEIL TRINCH - 750ML,WINE,"THE COUNTRY VINTNER, LLC DBA WINEBOW"
345056,BARTINNEY CHARD - 750ML,WINE,A VINTNERS SELECTIONS
345058,SAINT CLAIR PIONEER BLOCK 20 S/BLC - 750ML,WINE,A VINTNERS SELECTIONS
345062,WEINGUT STADT KREMS WEINZIERLBERG GR-VELT - 750ML,WINE,"THE COUNTRY VINTNER, LLC DBA WINEBOW"
345064,NIGL FREIHEIT GR-VELT - 750ML,WINE,"THE COUNTRY VINTNER, LLC DBA WINEBOW"
345066,GHOST BLOCK S/BLC - 750ML,WINE,"THE COUNTRY VINTNER, LLC DBA WINEBOW"
345069,ST INNOCENT VITAE SPRINGS P/GRIS - 750ML,WINE,A VINTNERS SELECTIONS
345071,STOBI RKATSITELI - 750ML,WINE,"THE COUNTRY VINTNER, LLC DBA WINEBOW"
345073,TENUTA DI FESSINA ERSE ETNA BIANCO - 750ML,WINE,A VINTNERS SELECTIONS
345077,RAMIREZ DE LA PISCINA GRAN RESA - 750ML,WINE,A VINTNERS SELECTIONS
345081,TALLEY EST CHARD - 750ML,WINE,"THE COUNTRY VINTNER, LLC DBA WINEBOW"
